code_module,code_presentation,id_student,not_completed,split,gender,region,highest_education,imd_band,age_band,disability,num_of_prev_attempts,studied_credits,total_clicks,active_days,clicks_last_7d,mean_clicks_per_active_day,days_registered_before_start,days_since_last_activity,click_slope_daily,second_half_click_ratio,longest_activity_gap,distinct_activity_types,distinct_materials,assessment_material_share,n_assessments_submitted,mean_score_submitted,min_score_submitted,mean_submission_lateness,n_due_not_submitted,clicks_percentile,score_percentile
FFF,2013J,606428,1,train,M,North Region,A Level or Equivalent,10-20%,0-35,N,0,60,818.0,31,57.0,26.387096774193548,38,0,-0.6420361247947455,0.6913946587537092,3,9,51,0.17481662591687042,1,88.0,88.0,-1.0,0,0.756811301715439,0.7277872099603848
FFF,2013J,595381,0,train,M,London Region,Lower Than A Level,30-40%,0-35,N,0,120,783.0,21,49.0,37.285714285714285,53,0,-1.267651888341543,0.29,5,10,49,0.031928480204342274,1,82.0,82.0,-1.0,0,0.7295660948536832,0.5104697226938314
BBB,2014B,2502127,0,validate,F,Yorkshire Region,A Level or Equivalent,0-10%,0-35,N,0,60,483.0,8,178.0,60.375,71,0,0.03585112205801858,0.6829268292682927,5,9,33,0.035196687370600416,1,73.0,73.0,0.0,0,0.9257232212666145,0.5044169611307421
FFF,2013B,542536,0,train,M,Yorkshire Region,Lower Than A Level,30-40%,0-35,N,0,90,315.0,17,33.0,18.529411764705884,46,3,-0.14340448823207444,1.6923076923076923,6,10,48,0.015873015873015872,1,76.0,76.0,-2.0,0,0.28994490358126723,0.25473843821076575
BBB,2013J,415698,1,train,F,South East Region,A Level or Equivalent,50-60%,0-35,N,1,120,0.0,0,0.0,,87,,0.0,,,0,0,0.0,0,,,,1,0.0,
DDD,2014J,488941,0,test,M,North Region,Post Graduate Qualification,,55<=,N,0,120,354.0,18,50.0,19.666666666666668,92,0,-0.2695675971538041,0.6702702702702703,6,9,64,0.005649717514124294,2,100.0,100.0,-11.5,0,0.7462380300957593,0.96015625
CCC,2014J,611033,1,test,M,North Region,Post Graduate Qualification,,35-55,N,0,30,277.0,9,0.0,30.77777777777778,67,7,-0.03366174055829225,0.82,16,6,22,0.6823104693140795,1,100.0,100.0,3.0,0,0.5606736007924715,0.8048098434004475
DDD,2014B,632680,0,validate,F,East Anglian Region,A Level or Equivalent,90-100%,0-35,Y,0,60,221.0,17,30.0,13.0,27,1,0.06486042692939248,1.859375,5,9,54,0.004524886877828055,1,92.0,92.0,-1.0,0,0.4907497565725414,0.9039408866995073
FFF,2014J,615266,0,test,F,South Region,A Level or Equivalent,30-40%,0-35,N,0,120,704.0,36,112.0,19.555555555555557,155,0,0.5361247947454842,1.3903508771929824,4,11,55,0.29261363636363635,2,95.5,95.0,-112.0,0,0.6905274488697524,0.9440203562340967
DDD,2014J,2590864,0,test,M,North Western Region,Lower Than A Level,40-50%,35-55,N,0,60,100.0,10,8.0,10.0,39,2,-0.3136288998357965,0.2413793103448276,6,7,33,0.01,1,65.0,65.0,5.0,0,0.2503419972640219,0.25390625
FFF,2013J,607586,1,train,M,Yorkshire Region,A Level or Equivalent,30-40%,0-35,N,0,60,654.0,15,128.0,43.6,31,0,0.5708812260536397,1.4686192468619246,6,11,56,0.0030581039755351682,1,82.0,82.0,-2.0,0,0.6629667003027245,0.5104697226938314
FFF,2013J,599315,0,train,M,South Region,HE Qualification,70-80%,35-55,N,0,120,812.0,31,93.0,26.193548387096776,17,0,-0.1874657909140667,0.7451456310679612,3,10,54,0.10960591133004927,2,87.5,80.0,-108.0,0,0.7497477295660948,0.7192982456140351
